swVersion	productClass	wifiType	operator	province	chipset	chipsetDate	midware	midwareDate	author	firmwareDate	noteAddr	firmwareAddr
S-010W-A_SW_A_ZY_CUSC_R1.00.03	S-010W-A	RTL8189ETV	CU	SC	RK3228B	20170331	suying	20170329	张丛静	2017-06-04	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8235-FCZZA#01P04	http://172.24.170.213/E%3A/stb/IP_STB现场版本/四川联通standalone
S-010W-A_SW_A_ZY_CUSC_R1.00.02	S-010W-A	RTL8189ETV	CU	SC	RK3228B	20170331	suying	20170329	张丛静	2017-06-03	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8235-FCZZA#01P03	http://172.24.170.213/E%3A/stb/IP_STB现场版本/四川联通standalone
G-120WT-P_SW_A_ZY_CTAH_R1.00.11	G-120WT-P	MTK7526FU	CT	ah	RK3228B	20170527	suying	20170519	童维青	2017-05-27	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8227-FCZZA#01P12	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一安徽电信
S-010W-A_SW_A_ZY_CUNM_R1.00.02	S-010W-A	RTL8189ETV	CU	nm	RK3228B	20170526	suying	20170526	姜良超	2017-05-26	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8229-FCZZA#01P03	http://172.24.170.213/E%3A/stb/IP_STB现场版本/内蒙古联通
RG020ET-CA_SW_B_ZY_CUSX_R1.00.01	RG020ET-CA	RTL8676	CU	sx	S905L	20170526	suying	20170418	张丛静	2017-05-26	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8239-FCZZA#01P01	http://172.24.170.213/E%3A/stb/IP_STB现场版本/山西联通LAN上行
S-010W-A_SW_A_ZY_CUHN_R1.02.01	S-010W-A	RTL8189ETV	CU	hn	RK3228B	20170525	suying	20170525	童维青	2017-05-25	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL942078018_FCZZA#02P016	http://172.24.170.213/E%3A/stb/IP_STB现场版本/湖南联通
G-120WT-P_SW_A_ZY_CTAH_R1.00.10	G-120WT-P	MTK7526FU	CT	ah	RK3228B	20170525	suying	20170519	童维青	2017-05-25	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8227-FCZZA#01P11	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一安徽电信
G-120WT-P_SW_A_ZY_CTAH_R1.00.09	G-120WT-P	MTK7526FU	CT	ah	RK3228B	20170519	suying	20170519	童维青	2017-05-24	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8227-FCZZA#01P10	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一安徽电信
G-120WT-P_SW_A_ZY_CUAH_R1.00.01	G-120WT-P	MTK7526FU	CU	ah	RK3228B		suying	20170523	李滨伟	2017-05-23	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8236-FCZZA#01P02	http://172.24.170.213/E%3A/stb/IP_STB现场版本/安徽联通gpon
G-120WT-P_SW_A_FAC_R1.01.07	G-120WT-P	MTK7526FU	gc	gc	RK3228B	20161102	suying	20160715	童维青	2017-05-22	http://oraweb.alcatel.com/pls/webappdad/control_gui.information?name=3CL-94207-8211-FCZZA#01P03	http://172.24.170.213/E%3A/stb/IP_STB现场版本/二合一基线
